year,category,commodity,trade_usd
1988,01_live_animals,Goats, live,109.0
1988,02_meat_and_edible_meat_offal,Bellies (streaky) of swine, salted, dried or smoked,23.0
1988,03_fish_crustaceans_molluscs_aquatic_invertebrates_ne,Halibut, frozen, whole,18.0
1988,04_dairy_products_eggs_honey_edible_animal_product_nes,Eggs, bird, not in shell not dried,12.0
1988,05_products_of_animal_origin_nes,Ossein and bones treated with acid,7.0
1988,06_live_trees_plants_bulbs_roots_cut_flowers_etc,Mosses and lichens for bouquets, ornamental purposes,25.0
1988,07_edible_vegetables_and_certain_roots_and_tubers,Cucumbers and gherkins, fresh or chilled,46.0
1988,08_edible_fruit_nuts_peel_of_citrus_fruit_melons,Hazelnuts and filberts in shell fresh or dried,2.0
1988,09_coffee_tea_mate_and_spices,Tea, black (fermented or partly) in packages < 3 kg,8.0
1988,10_cereals,Rice, semi-milled or wholly milled,7.0
1988,11_milling_products_malt_starches_inulin_wheat_glute,Cereal pellets except wheat,26.0
1988,12_oil_seed_oleagic_fruits_grain_seed_fruit_etc_ne,Mustard seeds,25.0
1988,13_lac_gums_resins_vegetable_saps_and_extracts_nes,Agar-agar,776.0
1988,14_vegetable_plaiting_materials_vegetable_products_nes,Cotton linters,7.0
1988,15_animal_vegetable_fats_and_oils_cleavage_products_et,Cotton-seed oil crude,12.0
1988,16_meat_fish_and_seafood_food_preparations_nes,Salmon prepared or preserved, not minced,20.0
1988,17_sugars_and_sugar_confectionery,Fructose, syrup > 50% fructose, not pure fructose,9.0
1988,18_cocoa_and_cocoa_preparations,Cocoa powder, unsweetened,15.0
1988,19_cereal_flour_starch_milk_preparations_and_products,Couscous,217.0
1988,20_vegetable_fruit_nut_etc_food_preparations,Citrus based jams jellies marmalade, etc.,8.0
1988,21_miscellaneous_edible_preparations,Tea and mate extracts, essences and concentrates,6.0
1988,22_beverages_spirits_and_vinegar,Grape must, unfermented, except as fruit juice,2.0
1988,23_residues_wastes_of_food_industry_animal_fodder,Wheat bran, sharps, other residues,35.0
1988,24_tobacco_and_manufactured_tobacco_substitutes,Products of tobacco, substitute nes, extract, essence,57.0
1988,25_salt_sulphur_earth_stone_plaster_lime_and_cement,Emery, natural corundum/garnet, including heat treate,23.0
1988,26_ores_slag_and_ash,Roasted iron pyrites,5.0
1988,27_mineral_fuels_oils_distillation_products_etc,Kerosene lamp oil, motor kerosene, light diesel, etc,51.0
1988,28_inorganic_chemicals_precious_metal_compound_isotope,Bismuth carbonate,16.0
1988,29_organic_chemicals,Isobutyl acetate,57.0
1988,30_pharmaceutical_products,Glands and other organs, dried, for therapeutic uses,345.0
1988,31_fertilizers,Animal or vegetable fertilizers, in packs >10 kg,8.0
1988,32_tanning_dyeing_extracts_tannins_derivs_pigments_et,Colour lakes, preparations based thereon,295.0
1988,33_essential_oils_perfumes_cosmetics_toileteries,Essential oils of geranium,15.0
1988,34_soaps_lubricants_waxes_candles_modelling_pastes,Scouring pastes and powders and other scouring preps,419.0
1988,35_albuminoids_modified_starches_glues_enzymes,Rennet and concentrates thereof,121.0
1988,36_explosives_pyrotechnics_matches_pyrophorics_etc,Matches,60.0
1988,37_photographic_or_cinematographic_goods,Colour film in rolls, width >610mm, length > 200m,27.0
1988,38_miscellaneous_chemical_products,Lubricating oil additives, no petroleum, bitumen oils,96.0
1988,39_plastics_and_articles_thereof,Cellulose acetates, plasticised, in primary forms,419.0
1988,40_rubber_and_articles_thereof,Pneumatic tyres new of rubber for bicycles,543.0
